"Name","State","Notes","User","Tags","Created","Runtime","Sweep","fad_score","loss","total_norm","train_loss","val_loss"
"celestial-donkey-60","crashed","-","","","2024-08-19T14:49:33.000Z","21200","","","1.5742777020766818","","","1.7549732327461245"
"ruby-tree-58","finished","-","","","2024-08-13T11:18:24.000Z","14185","","","1.4134004724950626","","","1.71147913535436"
"flowing-vortex-49","finished","-","","","2024-08-10T14:37:24.000Z","12036","","","1.5729525305073837","","","1.6981256678700447"
"peach-elevator-47","crashed","-","","","2024-08-10T14:11:33.000Z","20687","","","1.832058843867532","","","1.8665981888771055"
"giddy-pyramid-45","killed","-","","","2024-08-09T15:55:24.000Z","3802","","","","","1.589174473593975","1.7433569207787514"
"sage-glitter-41","finished","-","","","2024-08-07T21:21:21.000Z","6737","","","1.6723952915134102","","","1.7248997017741203"
"tough-firefly-40","finished","-","","","2024-08-07T16:01:15.000Z","6219","","","1.675617427147668","","","1.7292622029781342"
"dark-darkness-37","finished","-","","","2024-07-31T19:37:21.000Z","6165","","","1.5686272382736206","0.04092719215612018","","1.7239089086651802"
"dulcet-field-35","finished","-","","","2024-07-31T16:26:21.000Z","2517","","","","","1.584230352578492","1.7423629388213158"
"stoic-plant-31","finished","-","","","2024-07-31T11:16:58.000Z","846","","","","","1.4684970348045745","1.824560821056366"
"azure-river-30","finished","-","","","2024-07-31T11:01:19.000Z","852","","","","","1.5075075004635186","1.772113524377346"
"frosty-puddle-28","finished","-","","","2024-07-31T10:44:41.000Z","435","","","","","1.5139090208144024","1.8786959201097488"
"rare-microwave-22","killed","-","","","2024-07-24T09:40:36.000Z","723","","","0.79868084192276","0","","1.7433562596638998"
"exalted-plant-16","finished","-","","","2024-07-24T01:50:50.000Z","2439","","","1.7633706331253052","0.03311497667789172","","1.6094104170799255"
"balmy-brook-15","finished","-","","","2024-07-23T22:12:07.000Z","11963","","","1.2446686029434204","0.06979569853147034","","1.614323091506958"
"misunderstood-dragon-13","finished","-","","","2024-07-23T16:37:30.000Z","12104","","","1.3995840549468994","0.2933397700623688","","1.457567282517751"
"scarlet-water-3","finished","-","","","2024-07-16T14:00:53.000Z","6570","","","1.3513604402542114","0.04588293565016696","","1.7375486344099045"
"pleasant-grass-2","finished","-","","","2024-07-15T23:13:57.000Z","3361","","","1.5609663724899292","0.061600670124149375","","1.6645029485225675"
